(-0.4847746000, 1.1869950000, 0.5021168000),(-0.0230176000, -0.1978318000, 0.0114899800, 0.9798983000),2/19/2021 11:00:27 AM
(-0.4849518000, 1.1868960000, 0.5016860000),(-0.0236748700, -0.1986575000, 0.0119178200, 0.9797105000),2/19/2021 11:00:27 AM
(-0.4848173000, 1.1877890000, 0.5011874000),(-0.0241339700, -0.1982739000, 0.0112845100, 0.9797845000),2/19/2021 11:00:28 AM
(-0.4844218000, 1.1878140000, 0.5016205000),(-0.0247975600, -0.1981698000, 0.0101368800, 0.9798015000),2/19/2021 11:00:28 AM
(-0.4846677000, 1.1877450000, 0.5013543000),(-0.0247527500, -0.1976907000, 0.0113481000, 0.9798862000),2/19/2021 11:00:28 AM
(-0.4845721000, 1.1874090000, 0.5015057000),(-0.0238001700, -0.1981926000, 0.0115390800, 0.9798062000),2/19/2021 11:00:28 AM
(-0.4844632000, 1.1873350000, 0.5016780000),(-0.0243687400, -0.1975206000, 0.0110677900, 0.9799333000),2/19/2021 11:00:28 AM
(-0.4842932000, 1.1875060000, 0.5015809000),(-0.0247087800, -0.1974605000, 0.0106264200, 0.9799418000),2/19/2021 11:00:28 AM
(-0.4843791000, 1.1876260000, 0.5014449000),(-0.0242115900, -0.1969841000, 0.0100473400, 0.9800562000),2/19/2021 11:00:28 AM
(-0.4843627000, 1.1871840000, 0.5021642000),(-0.0226862200, -0.1976603000, 0.0101918400, 0.9799550000),2/19/2021 11:00:28 AM
(-0.4852781000, 1.1870540000, 0.5021092000),(-0.0231240600, -0.1988324000, 0.0100697300, 0.9797089000),2/19/2021 11:00:28 AM
(-0.4848213000, 1.1873450000, 0.5015596000),(-0.0221707000, -0.1983322000, 0.0102323900, 0.9798307000),2/19/2021 11:00:28 AM
(-0.4849273000, 1.1875640000, 0.5014318000),(-0.0234242400, -0.1987647000, 0.0107520100, 0.9797083000),2/19/2021 11:00:29 AM
(-0.4845542000, 1.1874810000, 0.5013932000),(-0.0239142000, -0.1990105000, 0.0108792000, 0.9796451000),2/19/2021 11:00:29 AM
(-0.4846779000, 1.1876100000, 0.5010710000),(-0.0247599200, -0.1996447000, 0.0101014200, 0.9795035000),2/19/2021 11:00:29 AM
(-0.4848341000, 1.1875080000, 0.5013897000),(-0.0251069400, -0.1994080000, 0.0105435900, 0.9795381000),2/19/2021 11:00:29 AM
(-0.4850044000, 1.1875520000, 0.5011645000),(-0.0243981400, -0.2003197000, 0.0110973900, 0.9793639000),2/19/2021 11:00:29 AM
(-0.4851797000, 1.1875940000, 0.5011998000),(-0.0244751800, -0.2003458000, 0.0108074400, 0.9793599000),2/19/2021 11:00:29 AM
(-0.4847726000, 1.1873840000, 0.5013716000),(-0.0244127600, -0.1992971000, 0.0107571100, 0.9795759000),2/19/2021 11:00:29 AM
(-0.4846447000, 1.1871660000, 0.5017031000),(-0.0242539100, -0.1993681000, 0.0102369700, 0.9795710000),2/19/2021 11:00:29 AM
(-0.4853317000, 1.1870690000, 0.5014918000),(-0.0244640100, -0.1996359000, 0.0103490900, 0.9795101000),2/19/2021 11:00:29 AM
(-0.4851727000, 1.1877480000, 0.5014162000),(-0.0244109900, -0.1997701000, 0.0102803800, 0.9794847000),2/19/2021 11:00:29 AM
(-0.4846322000, 1.1871090000, 0.5016270000),(-0.0232947100, -0.1993485000, 0.0102023800, 0.9795986000),2/19/2021 11:00:30 AM
(-0.4849538000, 1.1871790000, 0.5012203000),(-0.0239164600, -0.2002386000, 0.0104468000, 0.9793995000),2/19/2021 11:00:30 AM
(-0.4849564000, 1.1873040000, 0.5010241000),(-0.0247053800, -0.2000082000, 0.0107430500, 0.9794238000),2/19/2021 11:00:30 AM
(-0.4849539000, 1.1873520000, 0.5010874000),(-0.0252707900, -0.2001708000, 0.0105284100, 0.9793785000),2/19/2021 11:00:30 AM
(-0.4849285000, 1.1876900000, 0.5008085000),(-0.0252853200, -0.1995219000, 0.0106637100, 0.9795091000),2/19/2021 11:00:30 AM
(-0.4854326000, 1.1871950000, 0.5009640000),(-0.0244357700, -0.2001930000, 0.0108130200, 0.9793921000),2/19/2021 11:00:30 AM
(-0.4853620000, 1.1872530000, 0.5006815000),(-0.0246098600, -0.2003994000, 0.0113358700, 0.9793396000),2/19/2021 11:00:30 AM
(-0.4854042000, 1.1874590000, 0.5008135000),(-0.0245630100, -0.2002609000, 0.0110703800, 0.9793721000),2/19/2021 11:00:30 AM
(-0.4854994000, 1.1870610000, 0.5007233000),(-0.0243189500, -0.2005668000, 0.0109777800, 0.9793167000),2/19/2021 11:00:30 AM
(-0.4855830000, 1.1871500000, 0.5007913000),(-0.0240144100, -0.2004767000, 0.0112643500, 0.9793394000),2/19/2021 11:00:30 AM
(-0.4859211000, 1.1872500000, 0.5010932000),(-0.0253213000, -0.2009615000, 0.0107369900, 0.9792130000),2/19/2021 11:00:31 AM
(-0.4849404000, 1.1873540000, 0.5009898000),(-0.0237358400, -0.1989147000, 0.0113393600, 0.9796637000),2/19/2021 11:00:31 AM
(-0.4849994000, 1.1873430000, 0.5008097000),(-0.0242045600, -0.1994063000, 0.0112262200, 0.9795536000),2/19/2021 11:00:31 AM
(-0.4850093000, 1.1869870000, 0.5008824000),(-0.0246000300, -0.1997677000, 0.0116566300, 0.9794651000),2/19/2021 11:00:31 AM
(-0.4849309000, 1.1871380000, 0.5013177000),(-0.0247752200, -0.1993671000, 0.0115568200, 0.9795434000),2/19/2021 11:00:31 AM
